rms,peak,crest,kurtosis,std,mean_abs,dominant_freq,dominant_amp,spectral_energy,spectral_centroid,spectral_bandwidth,label
6719.292278261389,10703.0,1.5928760882491917,-1.002911685904592,2189.5119268201843,6352.552734375,1,1256774.6203272357,2513416761451.999,0.08218099958574494,0.12521204530882746,unbalance_19g
6686.9040545652315,10089.0,1.5087699655436384,-0.67548108231653,2152.4895798946004,6330.9931640625,3,847104.2626373817,2429121904375.0,0.08556706856562075,0.12468337328680261,unbalance_19g
6955.839706425413,10793.0,1.5516458767774701,-0.31649582141332644,1978.246501856362,6668.6015625,1,787691.6116617932,2051776923840.0002,0.08607742607021447,0.12476319808573197,unbalance_19g
7422.539833512389,10261.0,1.3824109038353836,-0.8181273777852018,1422.3172670477181,7284.9921875,5,519314.72624297754,1060620660350.0,0.08422080978618222,0.12346955560114085,unbalance_19g
6736.926886860674,10131.0,1.5038013875078466,-0.5346127227182853,1947.2147330830876,6449.3828125,1,853696.5214635212,1987908799639.9998,0.0854779361771465,0.12654575034263452,unbalance_19g
6863.507490935302,9893.0,1.441391302197277,-0.4639114072053365,1895.7372596832781,6596.5078125,1,860686.3832959435,1884196461760.0,0.07997439297121241,0.12257020993133214,unbalance_19g
7532.592210531262,11726.0,1.5567018195417461,-0.3213302683573884,1534.3272617796486,7374.671875,4,666106.6636983285,1234254231854.0,0.07135134808568211,0.11708521526762611,unbalance_19g
6649.788115530097,10500.0,1.5789976789603286,-0.6903750877878698,1947.6511000966746,6358.1708984375,1,1066609.2052287995,1988801811083.0,0.08409266866316101,0.12556694012406844,unbalance_19g
7431.897901936267,10420.0,1.4020644709456018,0.6783115319656603,1366.1051852914677,7305.2626953125,4,445262.35463762365,978355996626.9999,0.11448924079893871,0.13650045839670266,unbalance_19g
6455.256287045876,10376.0,1.6073722775069519,-0.6390190009003622,1934.9339166596535,6158.4384765625,1,875593.4120745561,1962890605887.0005,0.09247079736060196,0.1276922963053015,unbalance_19g
7428.655942320589,9630.0,1.2963314056771011,1.0913350584767185,1194.9869998352442,7331.912109375,4,501931.54126303445,748679929101.9999,0.108889729243525,0.13103106058039105,unbalance_19g
6734.477651334818,10531.0,1.5637441454591041,-0.3853472594157106,1932.3060483617812,6451.30859375,1,886533.9291685126,1957571374704.0,0.09887229539673066,0.13103127115269195,unbalance_19g
6392.886460273271,9554.0,1.4944735933244784,-0.4102479330441766,2196.2260019221203,6003.7978515625,1,881827.2065169659,2528846171443.0005,0.08974989098212888,0.12809726133445573,unbalance_19g
6770.651122820694,10121.0,1.4948340737697812,-0.37460059539761703,1993.2909914636743,6470.587890625,2,797661.2365566134,2083102105052.0005,0.08396960216841776,0.1242382950855509,unbalance_19g
7023.239754516007,10853.0,1.5452982354790639,0.9515590385992514,2209.4470343936964,6666.6513671875,1,858439.1323906837,2559392259515.0,0.08084120941987964,0.12229654114890573,unbalance_19g
5931.907947240184,10503.0,1.770593895491334,-1.345113160555742,2513.2049424873735,5373.205078125,1,1551056.8787213124,3311494481597.999,0.07630930147307032,0.1165993339688114,unbalance_19g
5812.107875214035,9449.0,1.6257440850841114,-1.3014224547174278,2081.646117586895,5426.541015625,1,1299418.7022950863,2271869960044.0,0.08469848089268144,0.12620235211626984,unbalance_19g
6227.65366074287,9550.0,1.5334828364332678,-1.1424517513051526,2162.1330346331297,5840.2783203125,1,951909.8740492474,2450913384895.0,0.0838807690711981,0.1244614582711742,unbalance_19g
6382.503367667051,10531.0,1.6499795446013714,-0.9099790562679755,2492.9276623863766,5875.513671875,1,1349710.9165799904,3258285489789.9995,0.07254448028227004,0.11800306685892822,unbalance_19g
6605.026283303118,10133.0,1.5341346976340224,-0.4727053168974864,2078.7405739740852,6269.38671875,4,733238.2157651252,2265531271727.9995,0.07898416378302284,0.12216108569415837,unbalance_19g
8649.025263394478,14039.0,1.6231886914954068,1.9376912489759404,3180.634067853796,8042.9599609375,4,1128652.3065574039,5303872433087.0,0.08127915436952463,0.12344257364151705,unbalance_23g
